model_name,method,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lam,n_clusters,mean_per_class_coverage
AlexNet,ClassConditionalConformal,0.95,0.9642691415313225,0.9642691415313225,1.0,0.9642691415313225,0.0357308584686775,2.0502020630001425,0.05,,,0.9595146470000567
GFNet,ClassConditionalConformal,0.95,0.9610208816705337,0.9614849187935035,1.0,0.9614849187935035,0.03851508120649652,1.5873239050001757,0.05,,,0.9605619388469139
ViT,ClassConditionalConformal,0.95,0.954524361948956,0.9577726218097448,1.0,0.9577726218097448,0.04222737819025522,1.5942936840001494,0.05,,,0.9602821140459792
AlexNet,ClusteredConformal,0.95,0.9568445475638051,0.9568445475638051,1.0,0.9568445475638051,0.0431554524361949,2.497895874999813,0.05,,4.0,0.9474320355358241
GFNet,ClusteredConformal,0.95,0.9503480278422274,0.9503480278422274,1.0,0.9503480278422274,0.049651972157772624,6.272273327000221,0.05,,4.0,0.9459429557019886
ViT,ClusteredConformal,0.95,0.951276102088167,0.9535962877030162,1.0,0.9535962877030162,0.04640371229698376,11.064949134000017,0.05,,4.0,0.9585776484037607
AlexNet,RAPS,0.95,0.9990719257540603,1.0,1.0,1.0,0.0,0.3968220050001037,0.05,0.01,,0.9992862943912584
GFNet,RAPS,0.95,0.9976798143851509,1.0,1.0,1.0,0.0,0.4127142659999663,0.05,0.01,,0.9974880798903145
ViT,RAPS,0.95,0.9925754060324826,1.0,1.0,1.0,0.0,0.41077377300007356,0.05,0.01,,0.9899444570242417
AlexNet,RC3P,0.95,0.9670533642691416,0.9670533642691416,1.0,0.9670533642691416,0.032946635730858466,1.6034708810002485,0.05,,,0.961613000054715
GFNet,RC3P,0.95,0.9661252900232019,0.9670533642691416,1.0,0.9670533642691416,0.032946635730858466,1.596849406000274,0.05,,,0.9723330633020304
ViT,RC3P,0.95,0.9577726218097448,0.9610208816705337,1.0,0.9610208816705337,0.03897911832946636,2.617920029000288,0.05,,,0.9640907949938825
AlexNet,SplitConformal,0.95,0.9582366589327146,0.9582366589327146,1.0,0.9582366589327146,0.04176334106728538,2.6244442499996694,0.05,,,0.9299937688165701
GFNet,SplitConformal,0.95,0.9522041763341067,0.9522041763341067,1.0,0.9522041763341067,0.04779582366589327,1.6082723380000061,0.05,,,0.9232578513467463
ViT,SplitConformal,0.95,0.9475638051044084,0.9498839907192576,1.0,0.9498839907192576,0.05011600928074246,1.618462905999877,0.05,,,0.9566408444775192
