class_id,class_coverage,support_count,model_name,method
0,0.9824945295404814,914,AlexNet,SplitConformal
1,0.9317180616740088,454,AlexNet,SplitConformal
2,0.9134078212290503,358,AlexNet,SplitConformal
3,0.9358974358974359,156,AlexNet,SplitConformal
4,0.9903846153846154,104,AlexNet,SplitConformal
5,0.9504950495049505,101,AlexNet,SplitConformal
6,0.8676470588235294,68,AlexNet,SplitConformal
0,0.9584245076586433,914,AlexNet,ClassConditionalConformal
1,0.9581497797356828,454,AlexNet,ClassConditionalConformal
2,0.9581005586592178,358,AlexNet,ClassConditionalConformal
3,0.9615384615384616,156,AlexNet,ClassConditionalConformal
4,0.9903846153846154,104,AlexNet,ClassConditionalConformal
5,0.9504950495049505,101,AlexNet,ClassConditionalConformal
6,1.0,68,AlexNet,ClassConditionalConformal
0,0.9638949671772429,914,AlexNet,RC3P
1,0.9647577092511013,454,AlexNet,RC3P
2,0.9664804469273743,358,AlexNet,RC3P
3,0.9615384615384616,156,AlexNet,RC3P
4,0.9903846153846154,104,AlexNet,RC3P
5,0.9504950495049505,101,AlexNet,RC3P
6,1.0,68,AlexNet,RC3P
0,0.9584245076586433,914,AlexNet,ClusteredConformal
1,0.9537444933920705,454,AlexNet,ClusteredConformal
2,0.952513966480447,358,AlexNet,ClusteredConformal
3,0.9615384615384616,156,AlexNet,ClusteredConformal
4,1.0,104,AlexNet,ClusteredConformal
5,0.9801980198019802,101,AlexNet,ClusteredConformal
6,0.8970588235294118,68,AlexNet,ClusteredConformal
0,1.0,914,AlexNet,RAPS
1,0.9955947136563876,454,AlexNet,RAPS
2,1.0,358,AlexNet,RAPS
3,1.0,156,AlexNet,RAPS
4,1.0,104,AlexNet,RAPS
5,1.0,101,AlexNet,RAPS
6,1.0,68,AlexNet,RAPS
0,0.9814004376367614,914,GFNet,SplitConformal
1,0.933920704845815,454,GFNet,SplitConformal
2,0.9553072625698324,358,GFNet,SplitConformal
3,0.9038461538461539,156,GFNet,SplitConformal
4,0.9807692307692307,104,GFNet,SplitConformal
5,0.9504950495049505,101,GFNet,SplitConformal
6,0.9411764705882353,68,GFNet,SplitConformal
0,0.9638949671772429,914,GFNet,ClassConditionalConformal
1,0.9647577092511013,454,GFNet,ClassConditionalConformal
2,0.946927374301676,358,GFNet,ClassConditionalConformal
3,0.9935897435897436,156,GFNet,ClassConditionalConformal
4,0.9711538461538461,104,GFNet,ClassConditionalConformal
5,0.9504950495049505,101,GFNet,ClassConditionalConformal
6,0.9852941176470589,68,GFNet,ClassConditionalConformal
0,0.9660831509846827,914,GFNet,RC3P
1,0.973568281938326,454,GFNet,RC3P
2,0.9553072625698324,358,GFNet,RC3P
3,1.0,156,GFNet,RC3P
4,0.9711538461538461,104,GFNet,RC3P
5,0.9504950495049505,101,GFNet,RC3P
6,0.9852941176470589,68,GFNet,RC3P
0,0.9638949671772429,914,GFNet,ClusteredConformal
1,0.9559471365638766,454,GFNet,ClusteredConformal
2,0.9776536312849162,358,GFNet,ClusteredConformal
3,0.9294871794871795,156,GFNet,ClusteredConformal
4,0.9711538461538461,104,GFNet,ClusteredConformal
5,0.9504950495049505,101,GFNet,ClusteredConformal
6,0.9264705882352942,68,GFNet,ClusteredConformal
0,1.0,914,GFNet,RAPS
1,0.9977973568281938,454,GFNet,RAPS
2,1.0,358,GFNet,RAPS
3,1.0,156,GFNet,RAPS
4,1.0,104,GFNet,RAPS
5,1.0,101,GFNet,RAPS
6,1.0,68,GFNet,RAPS
0,0.9857768052516411,914,ViT,SplitConformal
1,0.9405286343612335,454,ViT,SplitConformal
2,0.8994413407821229,358,ViT,SplitConformal
3,0.9102564102564102,156,ViT,SplitConformal
4,0.9615384615384616,104,ViT,SplitConformal
5,0.9405940594059405,101,ViT,SplitConformal
6,0.9264705882352942,68,ViT,SplitConformal
0,0.9540481400437637,914,ViT,ClassConditionalConformal
1,0.9515418502202643,454,ViT,ClassConditionalConformal
2,0.9581005586592178,358,ViT,ClassConditionalConformal
3,0.9551282051282052,156,ViT,ClassConditionalConformal
4,0.9903846153846154,104,ViT,ClassConditionalConformal
5,0.9108910891089109,101,ViT,ClassConditionalConformal
6,1.0,68,ViT,ClassConditionalConformal
0,0.9573304157549234,914,ViT,RC3P
1,0.9537444933920705,454,ViT,RC3P
2,0.9636871508379888,358,ViT,RC3P
3,0.967948717948718,156,ViT,RC3P
4,0.9903846153846154,104,ViT,RC3P
5,0.9108910891089109,101,ViT,RC3P
6,0.9411764705882353,68,ViT,RC3P
0,0.9540481400437637,914,ViT,ClusteredConformal
1,0.960352422907489,454,ViT,ClusteredConformal
2,0.946927374301676,358,ViT,ClusteredConformal
3,0.9294871794871795,156,ViT,ClusteredConformal
4,0.9519230769230769,104,ViT,ClusteredConformal
5,0.9108910891089109,101,ViT,ClusteredConformal
6,1.0,68,ViT,ClusteredConformal
0,0.9989059080962801,914,ViT,RAPS
1,0.986784140969163,454,ViT,RAPS
2,0.994413407821229,358,ViT,RAPS
3,0.9743589743589743,156,ViT,RAPS
4,1.0,104,ViT,RAPS
5,0.9702970297029703,101,ViT,RAPS
6,1.0,68,ViT,RAPS
