model_name,method,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lam,n_clusters,mean_per_class_coverage
AlexNet,ClassConditionalConformal,0.95,0.9610208816705337,0.9614849187935035,1.0,0.9614849187935035,0.03851508120649652,1.7662704140000187,0.05,,,0.9681561389259388
GFNet,ClassConditionalConformal,0.95,0.9638051044083527,0.9638051044083527,1.0,0.9638051044083527,0.03619489559164733,1.543647036999971,0.05,,,0.9680161153750885
ViT,ClassConditionalConformal,0.95,0.9554524361948956,0.9619489559164733,1.0,0.9573085846867749,0.04037122969837587,1.873433220000038,0.05,,,0.960013494077854
AlexNet,ClusteredConformal,0.95,0.9577726218097448,0.9582366589327146,1.0,0.9582366589327146,0.04176334106728538,2.717674637000016,0.05,,4.0,0.957639753200145
GFNet,ClusteredConformal,0.95,0.9605568445475638,0.9605568445475638,1.0,0.9605568445475638,0.03944315545243619,5.714405934000013,0.05,,4.0,0.9535860569153295
ViT,ClusteredConformal,0.95,0.9517401392111369,0.9577726218097448,1.0,0.9531322505800464,0.044547563805104405,10.269173505000026,0.05,,4.0,0.9505184689674423
AlexNet,RAPS,0.95,0.9990719257540603,1.0,1.0,1.0,0.0,0.37307546700003513,0.05,0.01,,0.9993706733794839
GFNet,RAPS,0.95,0.9995359628770302,1.0,1.0,1.0,0.0,0.394267799999966,0.05,0.01,,0.999685336689742
ViT,RAPS,0.95,0.9925754060324826,1.0,1.0,1.0,0.0,0.4496616119999999,0.05,0.01,,0.9892513515640882
AlexNet,RC3P,0.95,0.9661252900232019,0.9665893271461717,1.0,0.9665893271461717,0.03341067285382831,2.4640247849999923,0.05,,,0.9710787499691066
GFNet,RC3P,0.95,0.9684454756380511,0.9684454756380511,1.0,0.9684454756380511,0.03155452436194896,2.2224229409999907,0.05,,,0.9717002441140995
ViT,RC3P,0.95,0.9573085846867749,0.960092807424594,1.0,0.960092807424594,0.03990719257540603,2.88109185899998,0.05,,,0.955023279002209
AlexNet,SplitConformal,0.95,0.9522041763341067,0.9526682134570765,1.0,0.9526682134570765,0.047331786542923436,1.668831785000009,0.05,,,0.9388635102934388
GFNet,SplitConformal,0.95,0.9587006960556844,0.9587006960556844,1.0,0.9587006960556844,0.041299303944315545,1.5692534180000166,0.05,,,0.9495593299658542
ViT,SplitConformal,0.95,0.951276102088167,0.9522041763341067,1.0,0.9522041763341067,0.04779582366589327,1.5745188349999921,0.05,,,0.937800899975872
