model_name,method,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lam,n_clusters,mean_per_class_coverage
AlexNet,ClassConditionalConformal,0.95,0.9596287703016241,0.9596287703016241,1.0,0.9596287703016241,0.04037122969837587,2.2107563160000154,0.05,,,0.956888423743305
GFNet,ClassConditionalConformal,0.95,0.9582366589327146,0.9582366589327146,1.0,0.9582366589327146,0.04176334106728538,1.7959354110000163,0.05,,,0.9540389617981194
ViT,ClassConditionalConformal,0.95,0.9452436194895592,0.9475638051044084,1.0,0.9475638051044084,0.05243619489559165,1.6123175690000835,0.05,,,0.9524816446731226
AlexNet,ClusteredConformal,0.95,0.9577726218097448,0.9577726218097448,1.0,0.9577726218097448,0.04222737819025522,2.4682904470000153,0.05,,4.0,0.9523096691645504
GFNet,ClusteredConformal,0.95,0.954524361948956,0.954524361948956,1.0,0.954524361948956,0.045475638051044084,4.83761772400004,0.05,,4.0,0.9456387364542025
ViT,ClusteredConformal,0.95,0.9419953596287703,0.9443155452436195,1.0,0.9443155452436195,0.05568445475638051,11.709637385000065,0.05,,4.0,0.9421634114290399
AlexNet,RAPS,0.95,1.0,1.0,1.0,1.0,0.0,0.3854582679999794,0.05,0.01,,1.0
GFNet,RAPS,0.95,1.0,1.0,1.0,1.0,0.0,0.39029912500001274,0.05,0.01,,1.0
ViT,RAPS,0.95,0.9902552204176334,1.0,1.0,1.0,0.0,0.39488555799994174,0.05,0.01,,0.9838421504867866
AlexNet,RC3P,0.95,0.965661252900232,0.965661252900232,1.0,0.965661252900232,0.03433874709976798,1.6213073000000122,0.05,,,0.9609702593553164
GFNet,RC3P,0.95,0.9647331786542923,0.9647331786542923,1.0,0.9647331786542923,0.035266821345707654,1.5764583240000434,0.05,,,0.9646113160264342
ViT,RC3P,0.95,0.9494199535962877,0.9517401392111369,1.0,0.9517401392111369,0.04825986078886311,1.9482710810000299,0.05,,,0.954520845545683
AlexNet,SplitConformal,0.95,0.9526682134570765,0.9526682134570765,1.0,0.9526682134570765,0.047331786542923436,2.6810729289999813,0.05,,,0.9343251459569023
GFNet,SplitConformal,0.95,0.9466357308584686,0.9466357308584686,1.0,0.9466357308584686,0.05336426914153132,2.531780454999989,0.05,,,0.9213406483875322
ViT,SplitConformal,0.95,0.9447795823665893,0.9452436194895592,1.0,0.9452436194895592,0.054756380510440836,1.8958932509999613,0.05,,,0.9058299021180243
