class_id,class_coverage,support_count,model_name,method
0,0.9792122538293216,914,AlexNet,SplitConformal
1,0.9647577092511013,454,AlexNet,SplitConformal
2,0.9245810055865922,358,AlexNet,SplitConformal
3,0.9166666666666666,156,AlexNet,SplitConformal
4,0.9807692307692307,104,AlexNet,SplitConformal
5,0.8613861386138614,101,AlexNet,SplitConformal
6,0.9117647058823529,68,AlexNet,SplitConformal
0,0.9573304157549234,914,AlexNet,ClassConditionalConformal
1,0.9691629955947136,454,AlexNet,ClassConditionalConformal
2,0.9748603351955307,358,AlexNet,ClassConditionalConformal
3,0.9935897435897436,156,AlexNet,ClassConditionalConformal
4,1.0,104,AlexNet,ClassConditionalConformal
5,0.900990099009901,101,AlexNet,ClassConditionalConformal
6,0.9411764705882353,68,AlexNet,ClassConditionalConformal
0,0.962800875273523,914,AlexNet,RC3P
1,0.9713656387665198,454,AlexNet,RC3P
2,0.9804469273743017,358,AlexNet,RC3P
3,0.9935897435897436,156,AlexNet,RC3P
4,1.0,104,AlexNet,RC3P
5,0.9504950495049505,101,AlexNet,RC3P
6,0.9411764705882353,68,AlexNet,RC3P
0,0.9770240700218819,914,AlexNet,ClusteredConformal
1,0.960352422907489,454,AlexNet,ClusteredConformal
2,0.9189944134078212,358,AlexNet,ClusteredConformal
3,0.9038461538461539,156,AlexNet,ClusteredConformal
4,1.0,104,AlexNet,ClusteredConformal
5,0.900990099009901,101,AlexNet,ClusteredConformal
6,0.9411764705882353,68,AlexNet,ClusteredConformal
0,1.0,914,AlexNet,RAPS
1,0.9977973568281938,454,AlexNet,RAPS
2,1.0,358,AlexNet,RAPS
3,1.0,156,AlexNet,RAPS
4,1.0,104,AlexNet,RAPS
5,1.0,101,AlexNet,RAPS
6,1.0,68,AlexNet,RAPS
0,0.9934354485776805,914,GFNet,SplitConformal
1,0.9845814977973568,454,GFNet,SplitConformal
2,0.9301675977653632,358,GFNet,SplitConformal
3,0.8974358974358975,156,GFNet,SplitConformal
4,0.9903846153846154,104,GFNet,SplitConformal
5,0.900990099009901,101,GFNet,SplitConformal
6,0.6029411764705882,68,GFNet,SplitConformal
0,0.9638949671772429,914,GFNet,ClassConditionalConformal
1,0.9845814977973568,454,GFNet,ClassConditionalConformal
2,0.9189944134078212,358,GFNet,ClassConditionalConformal
3,0.9807692307692307,156,GFNet,ClassConditionalConformal
4,0.9903846153846154,104,GFNet,ClassConditionalConformal
5,0.9207920792079208,101,GFNet,ClassConditionalConformal
6,0.9558823529411765,68,GFNet,ClassConditionalConformal
0,0.9671772428884027,914,GFNet,RC3P
1,0.986784140969163,454,GFNet,RC3P
2,0.9273743016759777,358,GFNet,RC3P
3,0.9871794871794872,156,GFNet,RC3P
4,0.9903846153846154,104,GFNet,RC3P
5,0.9801980198019802,101,GFNet,RC3P
6,0.9558823529411765,68,GFNet,RC3P
0,0.9890590809628009,914,GFNet,ClusteredConformal
1,0.960352422907489,454,GFNet,ClusteredConformal
2,0.9050279329608939,358,GFNet,ClusteredConformal
3,0.782051282051282,156,GFNet,ClusteredConformal
4,0.9903846153846154,104,GFNet,ClusteredConformal
5,0.9207920792079208,101,GFNet,ClusteredConformal
6,0.9558823529411765,68,GFNet,ClusteredConformal
0,1.0,914,GFNet,RAPS
1,1.0,454,GFNet,RAPS
2,0.9888268156424581,358,GFNet,RAPS
3,0.9935897435897436,156,GFNet,RAPS
4,1.0,104,GFNet,RAPS
5,1.0,101,GFNet,RAPS
6,1.0,68,GFNet,RAPS
0,0.9956236323851203,914,ViT,SplitConformal
1,0.9647577092511013,454,ViT,SplitConformal
2,0.9692737430167597,358,ViT,SplitConformal
3,0.9743589743589743,156,ViT,SplitConformal
4,0.9615384615384616,104,ViT,SplitConformal
5,0.8613861386138614,101,ViT,SplitConformal
6,0.3088235294117647,68,ViT,SplitConformal
0,0.9671772428884027,914,ViT,ClassConditionalConformal
1,0.960352422907489,454,ViT,ClassConditionalConformal
2,0.952513966480447,358,ViT,ClassConditionalConformal
3,0.9871794871794872,156,ViT,ClassConditionalConformal
4,0.9711538461538461,104,ViT,ClassConditionalConformal
5,0.8613861386138614,101,ViT,ClassConditionalConformal
6,1.0,68,ViT,ClassConditionalConformal
0,0.9704595185995624,914,ViT,RC3P
1,0.960352422907489,454,ViT,RC3P
2,0.9608938547486033,358,ViT,RC3P
3,0.9871794871794872,156,ViT,RC3P
4,0.9711538461538461,104,ViT,RC3P
5,0.8613861386138614,101,ViT,RC3P
6,1.0,68,ViT,RC3P
0,0.9945295404814004,914,ViT,ClusteredConformal
1,0.920704845814978,454,ViT,ClusteredConformal
2,0.9664804469273743,358,ViT,ClusteredConformal
3,0.8589743589743589,156,ViT,ClusteredConformal
4,0.9711538461538461,104,ViT,ClusteredConformal
5,0.8613861386138614,101,ViT,ClusteredConformal
6,1.0,68,ViT,ClusteredConformal
0,0.9978118161925602,914,ViT,RAPS
1,0.9889867841409692,454,ViT,RAPS
2,0.9888268156424581,358,ViT,RAPS
3,0.9935897435897436,156,ViT,RAPS
4,1.0,104,ViT,RAPS
5,0.9603960396039604,101,ViT,RAPS
6,1.0,68,ViT,RAPS
