model_name,method,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lam,n_clusters,mean_per_class_coverage
AlexNet,ClassConditionalConformal,0.95,0.9642691415313225,0.9642691415313225,1.0,0.9642691415313225,0.0357308584686775,1.6944954650000454,0.05,,,0.9624442942475783
GFNet,ClassConditionalConformal,0.95,0.9610208816705337,0.9619489559164733,1.0,0.9619489559164733,0.038051044083526685,1.461619875999986,0.05,,,0.959328450955052
ViT,ClassConditionalConformal,0.95,0.9610208816705337,0.9624129930394432,1.0,0.9624129930394432,0.03758700696055684,1.4789035879998664,0.05,,,0.9571090148890761
AlexNet,ClusteredConformal,0.95,0.9549883990719258,0.9549883990719258,1.0,0.9549883990719258,0.04501160092807425,1.580012239000098,0.05,,4.0,0.9431976613973545
GFNet,ClusteredConformal,0.95,0.9498839907192576,0.9498839907192576,1.0,0.9498839907192576,0.05011600928074246,2.3386704609999924,0.05,,4.0,0.9290785380594542
ViT,ClusteredConformal,0.95,0.9573085846867749,0.9573085846867749,1.0,0.9573085846867749,0.04269141531322506,6.065913295999962,0.05,,4.0,0.9390327395665456
AlexNet,RAPS,0.95,0.9995359628770302,1.0,1.0,1.0,0.0,0.3754456060000848,0.05,0.01,,0.999685336689742
GFNet,RAPS,0.95,0.9976798143851509,1.0,1.0,1.0,0.0,0.37821958600011385,0.05,0.01,,0.9974880798903145
ViT,RAPS,0.95,0.9925754060324826,1.0,1.0,1.0,0.0,0.37969144400017285,0.05,0.01,,0.9899444570242417
AlexNet,RC3P,0.95,0.9703016241299304,0.9703016241299304,1.0,0.9703016241299304,0.029698375870069606,1.5910242030001882,0.05,,,0.9714106721567534
GFNet,RC3P,0.95,0.9675174013921114,0.9684454756380511,1.0,0.9684454756380511,0.03155452436194896,1.5271989099999246,0.05,,,0.9707114515486862
ViT,RC3P,0.95,0.9638051044083527,0.9651972157772621,1.0,0.9651972157772621,0.03480278422273782,1.6686333970001215,0.05,,,0.9587750383146928
AlexNet,SplitConformal,0.95,0.9549883990719258,0.9549883990719258,1.0,0.9549883990719258,0.04501160092807425,2.003563406000012,0.05,,,0.9341625300855895
GFNet,SplitConformal,0.95,0.9573085846867749,0.9573085846867749,1.0,0.9573085846867749,0.04269141531322506,2.168042431999993,0.05,,,0.899990904634486
ViT,SplitConformal,0.95,0.9535962877030162,0.9559164733178654,1.0,0.9559164733178654,0.04408352668213457,1.5242594349999763,0.05,,,0.862251741225149
