class_id,class_coverage,support_count,model_name,method
0,0.9792122538293216,914,DOFA_Spectral,SplitConformal
1,0.986784140969163,454,DOFA_Spectral,SplitConformal
2,0.9497206703910615,358,DOFA_Spectral,SplitConformal
3,0.7884615384615384,156,DOFA_Spectral,SplitConformal
4,0.9326923076923077,104,DOFA_Spectral,SplitConformal
5,0.8118811881188119,101,DOFA_Spectral,SplitConformal
6,0.8970588235294118,68,DOFA_Spectral,SplitConformal
0,0.9540481400437637,914,DOFA_Spectral,ClassConditionalConformal
1,0.9427312775330396,454,DOFA_Spectral,ClassConditionalConformal
2,0.9720670391061452,358,DOFA_Spectral,ClassConditionalConformal
3,0.9871794871794872,156,DOFA_Spectral,ClassConditionalConformal
4,1.0,104,DOFA_Spectral,ClassConditionalConformal
5,0.9306930693069307,101,DOFA_Spectral,ClassConditionalConformal
6,0.8970588235294118,68,DOFA_Spectral,ClassConditionalConformal
0,0.9551422319474836,914,DOFA_Spectral,RC3P
1,0.9427312775330396,454,DOFA_Spectral,RC3P
2,0.9860335195530726,358,DOFA_Spectral,RC3P
3,0.9871794871794872,156,DOFA_Spectral,RC3P
4,1.0,104,DOFA_Spectral,RC3P
5,0.9306930693069307,101,DOFA_Spectral,RC3P
6,0.8970588235294118,68,DOFA_Spectral,RC3P
0,0.9660831509846827,914,DOFA_Spectral,ClusteredConformal
1,0.9361233480176211,454,DOFA_Spectral,ClusteredConformal
2,0.9748603351955307,358,DOFA_Spectral,ClusteredConformal
3,0.9294871794871795,156,DOFA_Spectral,ClusteredConformal
4,0.8846153846153846,104,DOFA_Spectral,ClusteredConformal
5,0.9306930693069307,101,DOFA_Spectral,ClusteredConformal
6,0.8970588235294118,68,DOFA_Spectral,ClusteredConformal
0,0.9803063457330415,914,DOFA_Spectral,RAPS
1,0.9625550660792952,454,DOFA_Spectral,RAPS
2,0.9553072625698324,358,DOFA_Spectral,RAPS
3,0.8076923076923077,156,DOFA_Spectral,RAPS
4,0.9134615384615384,104,DOFA_Spectral,RAPS
5,0.7920792079207921,101,DOFA_Spectral,RAPS
6,0.8970588235294118,68,DOFA_Spectral,RAPS
0,0.9978118161925602,914,Hiera_ViT,SplitConformal
1,0.9074889867841409,454,Hiera_ViT,SplitConformal
2,0.9022346368715084,358,Hiera_ViT,SplitConformal
3,0.9487179487179487,156,Hiera_ViT,SplitConformal
4,0.9903846153846154,104,Hiera_ViT,SplitConformal
5,0.9801980198019802,101,Hiera_ViT,SplitConformal
6,0.9558823529411765,68,Hiera_ViT,SplitConformal
0,0.9617067833698031,914,Hiera_ViT,ClassConditionalConformal
1,0.9647577092511013,454,Hiera_ViT,ClassConditionalConformal
2,0.9776536312849162,358,Hiera_ViT,ClassConditionalConformal
