model_name,method,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lam,n_clusters,mean_per_class_coverage
DOFA_Hiera_Fusion,ClassConditionalConformal,0.95,0.9568445475638051,0.9568445475638051,1.0,0.9568445475638051,0.0431554524361949,1.4881785479997234,0.05,,,0.9585245644320887
DOFA_Spectral,ClassConditionalConformal,0.95,0.9563805104408353,2.6037122969837587,3.0,0.23805104408352667,0.0,1.4870609239997066,0.05,,,0.9548254052426827
Hiera_ViT,ClassConditionalConformal,0.95,0.9651972157772621,0.965661252900232,1.0,0.965661252900232,0.03433874709976798,1.4695061390002593,0.05,,,0.9656427257933603
DOFA_Hiera_Fusion,ClusteredConformal,0.95,0.9535962877030162,0.9535962877030162,1.0,0.9535962877030162,0.04640371229698376,8.468704089000312,0.05,,4.0,0.9610824551190823
DOFA_Spectral,ClusteredConformal,0.95,0.9508120649651972,2.3921113689095126,2.0,0.25707656612529,0.0,2.090471408999747,0.05,,4.0,0.9312744701623917
Hiera_ViT,ClusteredConformal,0.95,0.9633410672853828,0.9633410672853828,1.0,0.9633410672853828,0.03665893271461717,6.484488911999961,0.05,,4.0,0.9641101485684878
DOFA_Hiera_Fusion,RAPS,0.95,0.9948955916473318,1.0,1.0,1.0,0.0,0.3806276049999724,0.05,0.01,,0.9925132328872037
DOFA_Spectral,RAPS,0.95,0.9452436194895592,2.2018561484918795,2.0,0.25197215777262183,0.0,0.3882359640001596,0.05,0.01,,0.9012086502837456
Hiera_ViT,RAPS,0.95,0.9962877030162413,1.0,1.0,1.0,0.0,0.3957724679999046,0.05,0.01,,0.9963725361616106
DOFA_Hiera_Fusion,RC3P,0.95,0.962877030162413,0.962877030162413,1.0,0.962877030162413,0.037122969837587005,1.5850173089997952,0.05,,,0.9644779724609794
DOFA_Spectral,RC3P,0.95,0.9591647331786542,2.651508120649652,3.0,0.23387470997679816,0.0,1.5085460239997701,0.05,,,0.9569769155784894
Hiera_ViT,RC3P,0.95,0.9675174013921114,0.9679814385150812,1.0,0.9679814385150812,0.032018561484918794,1.990267985999708,0.05,,,0.9701578041677665
DOFA_Hiera_Fusion,SplitConformal,0.95,0.9526682134570765,0.9526682134570765,1.0,0.9526682134570765,0.047331786542923436,1.5420947020002131,0.05,,,0.9546024182297265
DOFA_Spectral,SplitConformal,0.95,0.9494199535962877,2.160092807424594,2.0,0.2222737819025522,0.0,1.5014729370000168,0.05,,,0.9065444175702309
Hiera_ViT,SplitConformal,0.95,0.9568445475638051,0.9568445475638051,1.0,0.9568445475638051,0.0431554524361949,1.5264852200002679,0.05,,,0.9546740538134185
