class_id,class_coverage,support_count,model_name,method
0,1.0,914,AlexNet,SplitConformal
1,1.0,454,AlexNet,SplitConformal
2,1.0,358,AlexNet,SplitConformal
3,1.0,156,AlexNet,SplitConformal
4,1.0,104,AlexNet,SplitConformal
5,1.0,101,AlexNet,SplitConformal
6,1.0,68,AlexNet,SplitConformal
0,1.0,914,AlexNet,ClassConditionalConformal
1,1.0,454,AlexNet,ClassConditionalConformal
2,1.0,358,AlexNet,ClassConditionalConformal
3,1.0,156,AlexNet,ClassConditionalConformal
4,1.0,104,AlexNet,ClassConditionalConformal
5,1.0,101,AlexNet,ClassConditionalConformal
6,1.0,68,AlexNet,ClassConditionalConformal
0,1.0,914,AlexNet,RC3P
1,1.0,454,AlexNet,RC3P
2,1.0,358,AlexNet,RC3P
3,1.0,156,AlexNet,RC3P
4,1.0,104,AlexNet,RC3P
5,1.0,101,AlexNet,RC3P
6,1.0,68,AlexNet,RC3P
0,1.0,914,AlexNet,ClusteredConformal
1,1.0,454,AlexNet,ClusteredConformal
2,1.0,358,AlexNet,ClusteredConformal
3,1.0,156,AlexNet,ClusteredConformal
4,1.0,104,AlexNet,ClusteredConformal
5,1.0,101,AlexNet,ClusteredConformal
6,1.0,68,AlexNet,ClusteredConformal
0,1.0,914,AlexNet,RAPS
1,1.0,454,AlexNet,RAPS
2,1.0,358,AlexNet,RAPS
3,1.0,156,AlexNet,RAPS
4,1.0,104,AlexNet,RAPS
5,1.0,101,AlexNet,RAPS
6,1.0,68,AlexNet,RAPS
0,1.0,914,GFNet,SplitConformal
1,1.0,454,GFNet,SplitConformal
2,1.0,358,GFNet,SplitConformal
3,1.0,156,GFNet,SplitConformal
4,1.0,104,GFNet,SplitConformal
5,1.0,101,GFNet,SplitConformal
6,1.0,68,GFNet,SplitConformal
0,1.0,914,GFNet,ClassConditionalConformal
1,1.0,454,GFNet,ClassConditionalConformal
2,1.0,358,GFNet,ClassConditionalConformal
3,1.0,156,GFNet,ClassConditionalConformal
4,1.0,104,GFNet,ClassConditionalConformal
5,1.0,101,GFNet,ClassConditionalConformal
6,1.0,68,GFNet,ClassConditionalConformal
0,1.0,914,GFNet,RC3P
1,1.0,454,GFNet,RC3P
2,1.0,358,GFNet,RC3P
3,1.0,156,GFNet,RC3P
4,1.0,104,GFNet,RC3P
5,1.0,101,GFNet,RC3P
6,1.0,68,GFNet,RC3P
0,1.0,914,GFNet,ClusteredConformal
1,1.0,454,GFNet,ClusteredConformal
2,1.0,358,GFNet,ClusteredConformal
3,1.0,156,GFNet,ClusteredConformal
4,1.0,104,GFNet,ClusteredConformal
5,1.0,101,GFNet,ClusteredConformal
6,1.0,68,GFNet,ClusteredConformal
0,1.0,914,GFNet,RAPS
1,1.0,454,GFNet,RAPS
2,1.0,358,GFNet,RAPS
3,1.0,156,GFNet,RAPS
4,1.0,104,GFNet,RAPS
5,1.0,101,GFNet,RAPS
6,1.0,68,GFNet,RAPS
0,1.0,914,ViT,SplitConformal
1,1.0,454,ViT,SplitConformal
2,1.0,358,ViT,SplitConformal
3,1.0,156,ViT,SplitConformal
4,1.0,104,ViT,SplitConformal
5,1.0,101,ViT,SplitConformal
6,1.0,68,ViT,SplitConformal
0,1.0,914,ViT,ClassConditionalConformal
1,1.0,454,ViT,ClassConditionalConformal
2,1.0,358,ViT,ClassConditionalConformal
3,1.0,156,ViT,ClassConditionalConformal
4,1.0,104,ViT,ClassConditionalConformal
5,1.0,101,ViT,ClassConditionalConformal
6,1.0,68,ViT,ClassConditionalConformal
0,1.0,914,ViT,RC3P
1,1.0,454,ViT,RC3P
2,1.0,358,ViT,RC3P
3,1.0,156,ViT,RC3P
4,1.0,104,ViT,RC3P
5,1.0,101,ViT,RC3P
6,1.0,68,ViT,RC3P
0,1.0,914,ViT,ClusteredConformal
1,1.0,454,ViT,ClusteredConformal
2,1.0,358,ViT,ClusteredConformal
3,1.0,156,ViT,ClusteredConformal
4,1.0,104,ViT,ClusteredConformal
5,1.0,101,ViT,ClusteredConformal
6,1.0,68,ViT,ClusteredConformal
0,1.0,914,ViT,RAPS
1,1.0,454,ViT,RAPS
2,1.0,358,ViT,RAPS
3,1.0,156,ViT,RAPS
4,1.0,104,ViT,RAPS
5,1.0,101,ViT,RAPS
6,1.0,68,ViT,RAPS
