class_id,class_coverage,support_count,model_name,method
0,0.9879649890590809,914,AlexNet,SplitConformal
1,0.9449339207048458,454,AlexNet,SplitConformal
2,0.952513966480447,358,AlexNet,SplitConformal
3,0.9102564102564102,156,AlexNet,SplitConformal
4,0.9903846153846154,104,AlexNet,SplitConformal
5,0.9207920792079208,101,AlexNet,SplitConformal
6,0.7941176470588235,68,AlexNet,SplitConformal
0,0.962800875273523,914,AlexNet,ClassConditionalConformal
1,0.9647577092511013,454,AlexNet,ClassConditionalConformal
2,0.9776536312849162,358,AlexNet,ClassConditionalConformal
3,0.9551282051282052,156,AlexNet,ClassConditionalConformal
4,0.9903846153846154,104,AlexNet,ClassConditionalConformal
5,0.9900990099009901,101,AlexNet,ClassConditionalConformal
6,0.9852941176470589,68,AlexNet,ClassConditionalConformal
0,0.9671772428884027,914,AlexNet,RC3P
1,0.9669603524229075,454,AlexNet,RC3P
2,0.9804469273743017,358,AlexNet,RC3P
3,0.9551282051282052,156,AlexNet,RC3P
4,0.9903846153846154,104,AlexNet,RC3P
5,0.9900990099009901,101,AlexNet,RC3P
6,0.9411764705882353,68,AlexNet,RC3P
0,0.962800875273523,914,AlexNet,ClusteredConformal
1,0.9647577092511013,454,AlexNet,ClusteredConformal
2,0.9636871508379888,358,AlexNet,ClusteredConformal
3,0.9487179487179487,156,AlexNet,ClusteredConformal
4,0.9903846153846154,104,AlexNet,ClusteredConformal
5,0.9900990099009901,101,AlexNet,ClusteredConformal
6,0.9411764705882353,68,AlexNet,ClusteredConformal
0,1.0,914,AlexNet,RAPS
1,0.9845814977973568,454,AlexNet,RAPS
2,0.9916201117318436,358,AlexNet,RAPS
3,0.9743589743589743,156,AlexNet,RAPS
4,1.0,104,AlexNet,RAPS
5,0.9900990099009901,101,AlexNet,RAPS
6,0.9558823529411765,68,AlexNet,RAPS
0,0.9912472647702407,914,GFNet,SplitConformal
1,0.9515418502202643,454,GFNet,SplitConformal
2,0.9497206703910615,358,GFNet,SplitConformal
3,0.8461538461538461,156,GFNet,SplitConformal
4,0.9807692307692307,104,GFNet,SplitConformal
5,0.9108910891089109,101,GFNet,SplitConformal
6,0.8382352941176471,68,GFNet,SplitConformal
0,0.937636761487965,914,GFNet,ClassConditionalConformal
1,0.9713656387665198,454,GFNet,ClassConditionalConformal
2,0.9357541899441341,358,GFNet,ClassConditionalConformal
3,0.9935897435897436,156,GFNet,ClassConditionalConformal
4,0.9807692307692307,104,GFNet,ClassConditionalConformal
5,0.8910891089108911,101,GFNet,ClassConditionalConformal
6,1.0,68,GFNet,ClassConditionalConformal
0,0.9463894967177243,914,GFNet,RC3P
1,0.973568281938326,454,GFNet,RC3P
2,0.9581005586592178,358,GFNet,RC3P
3,0.9935897435897436,156,GFNet,RC3P
4,0.9807692307692307,104,GFNet,RC3P
5,0.8910891089108911,101,GFNet,RC3P
6,1.0,68,GFNet,RC3P
0,0.937636761487965,914,GFNet,ClusteredConformal
1,0.9713656387665198,454,GFNet,ClusteredConformal
2,0.9776536312849162,358,GFNet,ClusteredConformal
3,0.8910256410256411,156,GFNet,ClusteredConformal
4,0.9807692307692307,104,GFNet,ClusteredConformal
5,0.9900990099009901,101,GFNet,ClusteredConformal
6,0.9411764705882353,68,GFNet,ClusteredConformal
0,1.0,914,GFNet,RAPS
1,0.9977973568281938,454,GFNet,RAPS
2,0.9972067039106145,358,GFNet,RAPS
3,1.0,156,GFNet,RAPS
4,1.0,104,GFNet,RAPS
5,1.0,101,GFNet,RAPS
6,1.0,68,GFNet,RAPS
0,0.9912472647702407,914,ViT,SplitConformal
1,0.9273127753303965,454,ViT,SplitConformal
2,0.9301675977653632,358,ViT,SplitConformal
3,0.9358974358974359,156,ViT,SplitConformal
4,0.9807692307692307,104,ViT,SplitConformal
5,0.9405940594059405,101,ViT,SplitConformal
6,0.8235294117647058,68,ViT,SplitConformal
0,0.9529540481400438,914,ViT,ClassConditionalConformal
1,0.9625550660792952,454,ViT,ClassConditionalConformal
2,0.9497206703910615,358,ViT,ClassConditionalConformal
3,0.9871794871794872,156,ViT,ClassConditionalConformal
4,1.0,104,ViT,ClassConditionalConformal
5,0.9900990099009901,101,ViT,ClassConditionalConformal
6,0.9852941176470589,68,ViT,ClassConditionalConformal
0,0.9638949671772429,914,ViT,RC3P
1,0.9625550660792952,454,ViT,RC3P
2,0.9553072625698324,358,ViT,RC3P
3,0.9871794871794872,156,ViT,RC3P
4,1.0,104,ViT,RC3P
5,0.9900990099009901,101,ViT,RC3P
6,0.9852941176470589,68,ViT,RC3P
0,0.9529540481400438,914,ViT,ClusteredConformal
1,0.9625550660792952,454,ViT,ClusteredConformal
2,0.9497206703910615,358,ViT,ClusteredConformal
3,0.967948717948718,156,ViT,ClusteredConformal
4,0.9807692307692307,104,ViT,ClusteredConformal
5,0.9900990099009901,101,ViT,ClusteredConformal
6,0.9852941176470589,68,ViT,ClusteredConformal
0,0.9956236323851203,914,ViT,RAPS
1,0.9933920704845814,454,ViT,RAPS
2,0.994413407821229,358,ViT,RAPS
3,0.9871794871794872,156,ViT,RAPS
4,1.0,104,ViT,RAPS
5,1.0,101,ViT,RAPS
6,1.0,68,ViT,RAPS
