class_id,class_coverage,support_count,model_name,method
0,0.9824945295404814,914,GeoRSCLIP_TextHead,SplitConformal
1,0.9493392070484582,454,GeoRSCLIP_TextHead,SplitConformal
2,0.9301675977653632,358,GeoRSCLIP_TextHead,SplitConformal
3,0.9487179487179487,156,GeoRSCLIP_TextHead,SplitConformal
4,0.9807692307692307,104,GeoRSCLIP_TextHead,SplitConformal
5,0.9603960396039604,101,GeoRSCLIP_TextHead,SplitConformal
6,0.9411764705882353,68,GeoRSCLIP_TextHead,SplitConformal
0,0.9540481400437637,914,GeoRSCLIP_TextHead,ClassConditionalConformal
1,0.9647577092511013,454,GeoRSCLIP_TextHead,ClassConditionalConformal
2,0.9497206703910615,358,GeoRSCLIP_TextHead,ClassConditionalConformal
3,0.9871794871794872,156,GeoRSCLIP_TextHead,ClassConditionalConformal
4,0.9807692307692307,104,GeoRSCLIP_TextHead,ClassConditionalConformal
5,0.9603960396039604,101,GeoRSCLIP_TextHead,ClassConditionalConformal
6,1.0,68,GeoRSCLIP_TextHead,ClassConditionalConformal
0,0.9595185995623632,914,GeoRSCLIP_TextHead,RC3P
1,0.973568281938326,454,GeoRSCLIP_TextHead,RC3P
2,0.9581005586592178,358,GeoRSCLIP_TextHead,RC3P
3,0.9871794871794872,156,GeoRSCLIP_TextHead,RC3P
4,1.0,104,GeoRSCLIP_TextHead,RC3P
5,0.9603960396039604,101,GeoRSCLIP_TextHead,RC3P
6,1.0,68,GeoRSCLIP_TextHead,RC3P
0,0.9660831509846827,914,GeoRSCLIP_TextHead,ClusteredConformal
1,0.9405286343612335,454,GeoRSCLIP_TextHead,ClusteredConformal
2,0.9497206703910615,358,GeoRSCLIP_TextHead,ClusteredConformal
3,0.9871794871794872,156,GeoRSCLIP_TextHead,ClusteredConformal
4,0.9807692307692307,104,GeoRSCLIP_TextHead,ClusteredConformal
5,0.9603960396039604,101,GeoRSCLIP_TextHead,ClusteredConformal
6,0.9411764705882353,68,GeoRSCLIP_TextHead,ClusteredConformal
0,0.9989059080962801,914,GeoRSCLIP_TextHead,RAPS
1,0.9955947136563876,454,GeoRSCLIP_TextHead,RAPS
2,0.9972067039106145,358,GeoRSCLIP_TextHead,RAPS
3,0.9935897435897436,156,GeoRSCLIP_TextHead,RAPS
4,1.0,104,GeoRSCLIP_TextHead,RAPS
5,0.9900990099009901,101,GeoRSCLIP_TextHead,RAPS
6,1.0,68,GeoRSCLIP_TextHead,RAPS
