class_id,class_coverage,support_count,model_name,method
0,0.9846827133479212,914,MambaSmall,SplitConformal
1,0.9405286343612335,454,MambaSmall,SplitConformal
2,0.9245810055865922,358,MambaSmall,SplitConformal
3,0.9551282051282052,156,MambaSmall,SplitConformal
4,0.9519230769230769,104,MambaSmall,SplitConformal
5,0.9504950495049505,101,MambaSmall,SplitConformal
6,0.8676470588235294,68,MambaSmall,SplitConformal
0,0.962800875273523,914,MambaSmall,ClassConditionalConformal
1,0.9559471365638766,454,MambaSmall,ClassConditionalConformal
2,0.9497206703910615,358,MambaSmall,ClassConditionalConformal
3,1.0,156,MambaSmall,ClassConditionalConformal
4,0.9615384615384616,104,MambaSmall,ClassConditionalConformal
5,0.9504950495049505,101,MambaSmall,ClassConditionalConformal
6,0.9705882352941176,68,MambaSmall,ClassConditionalConformal
0,0.9660831509846827,914,MambaSmall,RC3P
1,0.9625550660792952,454,MambaSmall,RC3P
2,0.9636871508379888,358,MambaSmall,RC3P
3,1.0,156,MambaSmall,RC3P
4,0.9807692307692307,104,MambaSmall,RC3P
5,0.9504950495049505,101,MambaSmall,RC3P
6,0.9705882352941176,68,MambaSmall,RC3P
0,0.9671772428884027,914,MambaSmall,ClusteredConformal
1,0.9559471365638766,454,MambaSmall,ClusteredConformal
2,0.9497206703910615,358,MambaSmall,ClusteredConformal
3,0.9743589743589743,156,MambaSmall,ClusteredConformal
4,0.9134615384615384,104,MambaSmall,ClusteredConformal
5,0.9702970297029703,101,MambaSmall,ClusteredConformal
6,0.9264705882352942,68,MambaSmall,ClusteredConformal
0,0.9989059080962801,914,MambaSmall,RAPS
1,0.9977973568281938,454,MambaSmall,RAPS
2,0.9916201117318436,358,MambaSmall,RAPS
3,1.0,156,MambaSmall,RAPS
4,1.0,104,MambaSmall,RAPS
5,1.0,101,MambaSmall,RAPS
6,1.0,68,MambaSmall,RAPS
0,0.9846827133479212,914,MambaBase,SplitConformal
1,0.9515418502202643,454,MambaBase,SplitConformal
2,0.9022346368715084,358,MambaBase,SplitConformal
3,0.9358974358974359,156,MambaBase,SplitConformal
4,0.9230769230769231,104,MambaBase,SplitConformal
5,0.9603960396039604,101,MambaBase,SplitConformal
6,0.9117647058823529,68,MambaBase,SplitConformal
0,0.9715536105032823,914,MambaBase,ClassConditionalConformal
1,0.973568281938326,454,MambaBase,ClassConditionalConformal
2,0.9441340782122905,358,MambaBase,ClassConditionalConformal
3,0.9551282051282052,156,MambaBase,ClassConditionalConformal
4,0.9615384615384616,104,MambaBase,ClassConditionalConformal
5,0.9504950495049505,101,MambaBase,ClassConditionalConformal
6,1.0,68,MambaBase,ClassConditionalConformal
0,0.9726477024070022,914,MambaBase,RC3P
1,0.973568281938326,454,MambaBase,RC3P
2,0.946927374301676,358,MambaBase,RC3P
3,0.9551282051282052,156,MambaBase,RC3P
4,0.9711538461538461,104,MambaBase,RC3P
5,0.9702970297029703,101,MambaBase,RC3P
6,1.0,68,MambaBase,RC3P
0,0.9715536105032823,914,MambaBase,ClusteredConformal
1,0.973568281938326,454,MambaBase,ClusteredConformal
2,0.9441340782122905,358,MambaBase,ClusteredConformal
3,0.9551282051282052,156,MambaBase,ClusteredConformal
4,0.9615384615384616,104,MambaBase,ClusteredConformal
5,0.9306930693069307,101,MambaBase,ClusteredConformal
6,1.0,68,MambaBase,ClusteredConformal
0,0.9989059080962801,914,MambaBase,RAPS
1,1.0,454,MambaBase,RAPS
2,0.9972067039106145,358,MambaBase,RAPS
3,1.0,156,MambaBase,RAPS
4,1.0,104,MambaBase,RAPS
5,1.0,101,MambaBase,RAPS
6,1.0,68,MambaBase,RAPS
0,0.9879649890590809,914,MambaLarge,SplitConformal
1,0.9691629955947136,454,MambaLarge,SplitConformal
2,0.9050279329608939,358,MambaLarge,SplitConformal
3,0.8461538461538461,156,MambaLarge,SplitConformal
4,0.9807692307692307,104,MambaLarge,SplitConformal
5,0.9405940594059405,101,MambaLarge,SplitConformal
6,0.8676470588235294,68,MambaLarge,SplitConformal
0,0.9693654266958425,914,MambaLarge,ClassConditionalConformal
1,0.9647577092511013,454,MambaLarge,ClassConditionalConformal
2,0.952513966480447,358,MambaLarge,ClassConditionalConformal
3,1.0,156,MambaLarge,ClassConditionalConformal
4,0.9903846153846154,104,MambaLarge,ClassConditionalConformal
5,0.9603960396039604,101,MambaLarge,ClassConditionalConformal
6,0.9411764705882353,68,MambaLarge,ClassConditionalConformal
0,0.975929978118162,914,MambaLarge,RC3P
1,0.9691629955947136,454,MambaLarge,RC3P
2,0.9581005586592178,358,MambaLarge,RC3P
3,1.0,156,MambaLarge,RC3P
4,1.0,104,MambaLarge,RC3P
5,0.9603960396039604,101,MambaLarge,RC3P
6,0.9411764705882353,68,MambaLarge,RC3P
0,0.9846827133479212,914,MambaLarge,ClusteredConformal
1,0.9625550660792952,454,MambaLarge,ClusteredConformal
2,0.888268156424581,358,MambaLarge,ClusteredConformal
3,1.0,156,MambaLarge,ClusteredConformal
4,1.0,104,MambaLarge,ClusteredConformal
5,0.9603960396039604,101,MambaLarge,ClusteredConformal
6,0.9264705882352942,68,MambaLarge,ClusteredConformal
0,0.9989059080962801,914,MambaLarge,RAPS
1,0.9977973568281938,454,MambaLarge,RAPS
2,0.994413407821229,358,MambaLarge,RAPS
3,1.0,156,MambaLarge,RAPS
4,1.0,104,MambaLarge,RAPS
5,1.0,101,MambaLarge,RAPS
6,1.0,68,MambaLarge,RAPS
