model_name,method,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lam,n_clusters,mean_per_class_coverage
MambaBase,ClassConditionalConformal,0.95,0.965661252900232,0.965661252900232,1.0,0.965661252900232,0.03433874709976798,1.5235688210000262,0.05,,,0.9652025266893595
MambaLarge,ClassConditionalConformal,0.95,0.9675174013921114,0.9675174013921114,1.0,0.9675174013921114,0.03248259860788863,2.3943105399998785,0.05,,,0.9683706040006003
MambaSmall,ClassConditionalConformal,0.95,0.9614849187935035,0.9614849187935035,1.0,0.9614849187935035,0.03851508120649652,1.507854922999968,0.05,,,0.9644414897951415
MambaBase,ClusteredConformal,0.95,0.9647331786542923,0.9647331786542923,1.0,0.9647331786542923,0.035266821345707654,6.608338046999961,0.05,,4.0,0.9623736723753566
MambaLarge,ClusteredConformal,0.95,0.962877030162413,0.962877030162413,1.0,0.962877030162413,0.037122969837587005,7.717177898000045,0.05,,4.0,0.9603389376701503
MambaSmall,ClusteredConformal,0.95,0.9587006960556844,0.9587006960556844,1.0,0.9587006960556844,0.041299303944315545,5.802788589999864,0.05,,4.0,0.9510618829431597
MambaBase,RAPS,0.95,0.9990719257540603,1.0,1.0,1.0,0.0,0.5860023100001399,0.05,0.01,,0.9994446588581278
MambaLarge,RAPS,0.95,0.9981438515081207,1.0,1.0,1.0,0.0,0.37517336000018986,0.05,0.01,,0.9987309532493861
MambaSmall,RAPS,0.95,0.9976798143851509,1.0,1.0,1.0,0.0,0.37779894699997385,0.05,0.01,,0.9983319109509026
MambaBase,RC3P,0.95,0.9679814385150812,0.9679814385150812,1.0,0.9679814385150812,0.032018561484918794,1.5208921430000828,0.05,,,0.9699603485188607
MambaLarge,RC3P,0.95,0.9726218097447796,0.9726218097447796,1.0,0.9726218097447796,0.027378190255220418,1.8964136859999599,0.05,,,0.9721094346520412
MambaSmall,RC3P,0.95,0.9675174013921114,0.9675174013921114,1.0,0.9675174013921114,0.03248259860788863,1.4721842079998169,0.05,,,0.9705968404957522
MambaBase,SplitConformal,0.95,0.9540603248259861,0.9540603248259861,1.0,0.9540603248259861,0.04593967517401392,1.5777660700000524,0.05,,,0.9385134721286238
MambaLarge,SplitConformal,0.95,0.9535962877030162,0.9535962877030162,1.0,0.9535962877030162,0.04640371229698376,1.9439580040000237,0.05,,,0.9281885875381766
MambaSmall,SplitConformal,0.95,0.9563805104408353,0.9563805104408353,1.0,0.9563805104408353,0.04361948955916473,1.6003651300000001,0.05,,,0.9392836776679298
