class_id,class_coverage,support_count,model_name,scoring_method,window_size
0,0.7100656455142232,914,AlexNet,RAPS,3
1,0.711453744493392,454,AlexNet,RAPS,3
2,0.7039106145251397,358,AlexNet,RAPS,3
3,0.6794871794871795,156,AlexNet,RAPS,3
4,0.7596153846153846,104,AlexNet,RAPS,3
5,0.7128712871287128,101,AlexNet,RAPS,3
6,0.6911764705882353,68,AlexNet,RAPS,3
0,0.725382932166302,914,AlexNet,SAPS,3
1,0.7290748898678414,454,AlexNet,SAPS,3
2,0.6759776536312849,358,AlexNet,SAPS,3
3,0.7243589743589743,156,AlexNet,SAPS,3
4,0.7307692307692307,104,AlexNet,SAPS,3
5,0.6633663366336634,101,AlexNet,SAPS,3
6,0.8088235294117647,68,AlexNet,SAPS,3
0,0.7024070021881839,914,GFNet,RAPS,3
1,0.7004405286343612,454,GFNet,RAPS,3
2,0.6815642458100558,358,GFNet,RAPS,3
3,0.6987179487179487,156,GFNet,RAPS,3
4,0.7403846153846154,104,GFNet,RAPS,3
5,0.7524752475247525,101,GFNet,RAPS,3
6,0.7647058823529411,68,GFNet,RAPS,3
0,0.687089715536105,914,GFNet,SAPS,3
1,0.6938325991189427,454,GFNet,SAPS,3
2,0.7150837988826816,358,GFNet,SAPS,3
3,0.6987179487179487,156,GFNet,SAPS,3
4,0.7788461538461539,104,GFNet,SAPS,3
5,0.7227722772277227,101,GFNet,SAPS,3
6,0.7205882352941176,68,GFNet,SAPS,3
0,0.7035010940919038,914,ViT,RAPS,3
1,0.737885462555066,454,ViT,RAPS,3
2,0.723463687150838,358,ViT,RAPS,3
3,0.7435897435897436,156,ViT,RAPS,3
4,0.6826923076923077,104,ViT,RAPS,3
5,0.7425742574257426,101,ViT,RAPS,3
6,0.75,68,ViT,RAPS,3
0,0.6849015317286652,914,ViT,SAPS,3
1,0.6850220264317181,454,ViT,SAPS,3
2,0.7206703910614525,358,ViT,SAPS,3
3,0.6794871794871795,156,ViT,SAPS,3
4,0.7307692307692307,104,ViT,SAPS,3
5,0.7326732673267327,101,ViT,SAPS,3
6,0.6617647058823529,68,ViT,SAPS,3
0,0.6772428884026258,914,AlexNet,RAPS,5
1,0.6607929515418502,454,AlexNet,RAPS,5
2,0.6564245810055865,358,AlexNet,RAPS,5
3,0.6794871794871795,156,AlexNet,RAPS,5
4,0.6826923076923077,104,AlexNet,RAPS,5
5,0.6633663366336634,101,AlexNet,RAPS,5
6,0.6764705882352942,68,AlexNet,RAPS,5
0,0.6980306345733042,914,AlexNet,SAPS,5
1,0.6916299559471366,454,AlexNet,SAPS,5
2,0.7094972067039106,358,AlexNet,SAPS,5
3,0.6346153846153846,156,AlexNet,SAPS,5
4,0.7403846153846154,104,AlexNet,SAPS,5
5,0.6732673267326733,101,AlexNet,SAPS,5
6,0.6911764705882353,68,AlexNet,SAPS,5
0,0.6925601750547046,914,GFNet,RAPS,5
1,0.6585903083700441,454,GFNet,RAPS,5
2,0.6815642458100558,358,GFNet,RAPS,5
3,0.6730769230769231,156,GFNet,RAPS,5
