model_key,model_name,scoring_method,window_size,lambda,k_iters,empirical_coverage,avg_set_size,scene_coverage,scene_avg_set_size,uncertain_pixel_rate,mean_per_class_cov,runtime_sec,alpha
AlexNet_CNN_MultiHead,AlexNet,RAPS,3,0.5,1,0.7090487238979118,0.7099767981438515,0.2710229995208433,1.0010122361487392,0.15274898825387426,0.7097971894788955,34.838231021999945,0.05
AlexNet_CNN_MultiHead,AlexNet,SAPS,3,0.5,1,0.7178654292343387,0.7187935034802784,0.2562290368950647,0.9038177181021565,0.8377455335110058,0.7225362209770088,33.748797158,0.05
GFNet_MultiHead,GFNet,RAPS,3,0.5,1,0.7044083526682134,0.7044083526682134,0.28431959750838526,0.9932616828922167,0.14807027934063766,0.7200993529446941,37.40255277599999,0.05
GFNet_MultiHead,GFNet,SAPS,3,0.5,1,0.7011600928074246,0.7011600928074246,0.2609008145663632,0.895828991634166,0.8186753528773073,0.7167043898033818,34.538500924999994,0.05
ViT_UNet_MultiHead,ViT,RAPS,3,0.5,1,0.7192575406032483,0.7345707656612529,0.29617872544321994,1.1083092679150912,0.21374987661632613,0.7262437932150859,37.43586745599998,0.05
ViT_UNet_MultiHead,ViT,SAPS,3,0.5,1,0.694199535962877,0.7053364269141531,0.2657522759942501,0.952246271100658,0.11919849965452571,0.6993269046696188,34.84742242200002,0.05
AlexNet_CNN_MultiHead,AlexNet,RAPS,5,0.5,1,0.6700696055684455,0.6761020881670534,0.31456636320076664,1.169847271428146,0.24924489191590168,0.6709252618569296,53.28330876599989,0.05
AlexNet_CNN_MultiHead,AlexNet,SAPS,5,0.5,1,0.6946635730858469,0.699767981438515,0.2776114039290848,0.9786239542707434,0.8853025367683348,0.6912287992207514,53.274894317000076,0.05
GFNet_MultiHead,GFNet,RAPS,5,0.5,1,0.6793503480278422,0.6835266821345708,0.32402970771442263,1.142139787827364,0.2263251406573882,0.675555213676103,55.24342142900002,0.05
GFNet_MultiHead,GFNet,SAPS,5,0.5,1,0.6918793503480278,0.6946635730858469,0.28988979396262576,0.9799636785852511,0.8790149047478037,0.7115511669351643,55.45237375699992,0.05
ViT_UNet_MultiHead,ViT,RAPS,5,0.5,1,0.6877030162412993,0.7071925754060325,0.33295400095831335,1.2249744459991863,0.27896555127825484,0.6907014581802338,52.128424679999966,0.05
ViT_UNet_MultiHead,ViT,SAPS,5,0.5,1,0.7146171693735499,0.7299303944315545,0.2921058936272161,1.0307044965117549,0.14311519099792716,0.7263126929909137,53.44139678900001,0.05
AlexNet_CNN_MultiHead,AlexNet,RAPS,7,0.5,1,0.7002320185614849,0.7150812064965197,0.36134403449928126,1.337084561413955,0.34072648307175996,0.7062787340757742,79.483684434,0.05
AlexNet_CNN_MultiHead,AlexNet,SAPS,7,0.5,1,0.7044083526682134,0.7178654292343387,0.29426209870627695,1.0288487302390663,0.12203138880663311,0.7043314872922427,79.83507990099997,0.05
GFNet_MultiHead,GFNet,RAPS,7,0.5,1,0.7164733178654292,0.7341067285382831,0.35798993770963106,1.259797354292576,0.2931892212022505,0.7284226342218114,80.11831095699995,0.05
GFNet_MultiHead,GFNet,SAPS,7,0.5,1,0.7174013921113689,0.7308584686774942,0.30372544321993294,1.0227455416951978,0.11993880169775935,0.7415063380242224,80.04540049999991,0.05
ViT_UNet_MultiHead,ViT,RAPS,7,0.5,1,0.708584686774942,0.7470997679814385,0.35972688068998565,1.3418182539918824,0.34146678511499357,0.7120627204464933,77.21387653600004,0.05
ViT_UNet_MultiHead,ViT,SAPS,7,0.5,1,0.6951276102088167,0.7211136890951276,0.3018687110685194,1.0590173370250182,0.15654920540914027,0.7052008572989825,77.69953129299984,0.05
AlexNet_CNN_MultiHead,AlexNet,RAPS,9,0.5,1,0.7243619489559164,0.7554524361948955,0.3767369429803546,1.3867337521212302,0.3758957654723127,0.7432462631305151,114.0291068580002,0.05
AlexNet_CNN_MultiHead,AlexNet,SAPS,9,0.5,1,0.7248259860788863,0.7447795823665894,0.3033660757067561,1.052755366340171,0.13562333432040272,0.7604434177713851,112.501693467,0.05
GFNet_MultiHead,GFNet,RAPS,9,0.5,1,0.7058004640371229,0.7359628770301624,0.37464063248682317,1.2994333462343823,0.3210640608034745,0.72238935406099,114.950567374,0.05
GFNet_MultiHead,GFNet,SAPS,9,0.5,1,0.7104408352668213,0.7276102088167054,0.3098346909439387,1.039616144174184,0.1286842365018261,0.7324933152291461,119.30384959599996,0.05
ViT_UNet_MultiHead,ViT,RAPS,9,0.5,1,0.7039443155452436,0.7494199535962877,0.3712266411116435,1.369972312364167,0.36443588984305597,0.7359991762876256,112.04525561899982,0.05
ViT_UNet_MultiHead,ViT,SAPS,9,0.5,1,0.7109048723897912,0.7406032482598608,0.3108528988979396,1.088550815247055,0.16793011548711875,0.7338939694271438,112.77247523899996,0.05
