class_id,class_coverage,support_count,model_name,scoring_method,window_size
0,0.6772428884026258,914,AlexNet,RAPS,5
1,0.6607929515418502,454,AlexNet,RAPS,5
2,0.6564245810055865,358,AlexNet,RAPS,5
3,0.6794871794871795,156,AlexNet,RAPS,5
4,0.6826923076923077,104,AlexNet,RAPS,5
5,0.6633663366336634,101,AlexNet,RAPS,5
6,0.6764705882352942,68,AlexNet,RAPS,5
0,0.6980306345733042,914,AlexNet,SAPS,5
1,0.6916299559471366,454,AlexNet,SAPS,5
2,0.7094972067039106,358,AlexNet,SAPS,5
3,0.6346153846153846,156,AlexNet,SAPS,5
4,0.7403846153846154,104,AlexNet,SAPS,5
5,0.6732673267326733,101,AlexNet,SAPS,5
6,0.6911764705882353,68,AlexNet,SAPS,5
0,0.6925601750547046,914,GFNet,RAPS,5
1,0.6585903083700441,454,GFNet,RAPS,5
2,0.6815642458100558,358,GFNet,RAPS,5
3,0.6730769230769231,156,GFNet,RAPS,5
4,0.6538461538461539,104,GFNet,RAPS,5
5,0.6633663366336634,101,GFNet,RAPS,5
6,0.7058823529411765,68,GFNet,RAPS,5
0,0.6838074398249453,914,GFNet,SAPS,5
1,0.6629955947136564,454,GFNet,SAPS,5
2,0.7122905027932961,358,GFNet,SAPS,5
3,0.717948717948718,156,GFNet,SAPS,5
4,0.7019230769230769,104,GFNet,SAPS,5
5,0.693069306930693,101,GFNet,SAPS,5
6,0.8088235294117647,68,GFNet,SAPS,5
0,0.675054704595186,914,ViT,RAPS,5
1,0.6674008810572687,454,ViT,RAPS,5
2,0.7346368715083799,358,ViT,RAPS,5
3,0.75,156,ViT,RAPS,5
4,0.6730769230769231,104,ViT,RAPS,5
5,0.6435643564356436,101,ViT,RAPS,5
6,0.6911764705882353,68,ViT,RAPS,5
0,0.687089715536105,914,ViT,SAPS,5
1,0.724669603524229,454,ViT,SAPS,5
2,0.7513966480446927,358,ViT,SAPS,5
3,0.75,156,ViT,SAPS,5
4,0.6634615384615384,104,ViT,SAPS,5
5,0.7722772277227723,101,ViT,SAPS,5
6,0.7352941176470589,68,ViT,SAPS,5
