class_id,class_coverage,support_count,model_name,window_size
0,1.0,914,AlexNet,3
1,1.0,454,AlexNet,3
2,1.0,358,AlexNet,3
3,1.0,156,AlexNet,3
4,1.0,104,AlexNet,3
5,1.0,101,AlexNet,3
6,1.0,68,AlexNet,3
0,1.0,914,GFNet,3
1,1.0,454,GFNet,3
2,0.994413407821229,358,GFNet,3
3,1.0,156,GFNet,3
4,1.0,104,GFNet,3
5,1.0,101,GFNet,3
6,1.0,68,GFNet,3
0,0.9978118161925602,914,ViT,3
1,0.9955947136563876,454,ViT,3
2,0.9972067039106145,358,ViT,3
3,1.0,156,ViT,3
4,1.0,104,ViT,3
5,0.9900990099009901,101,ViT,3
6,1.0,68,ViT,3
