class_id,class_coverage,support_count,model_name,method
0,0.9912472647702407,914,SpatialGCN,SplitConformal
1,0.9625550660792952,454,SpatialGCN,SplitConformal
2,0.9692737430167597,358,SpatialGCN,SplitConformal
3,0.8076923076923077,156,SpatialGCN,SplitConformal
4,0.875,104,SpatialGCN,SplitConformal
5,0.8316831683168316,101,SpatialGCN,SplitConformal
6,0.8970588235294118,68,SpatialGCN,SplitConformal
0,0.9584245076586433,914,SpatialGCN,ClassConditionalConformal
1,0.9625550660792952,454,SpatialGCN,ClassConditionalConformal
2,0.9636871508379888,358,SpatialGCN,ClassConditionalConformal
3,0.9743589743589743,156,SpatialGCN,ClassConditionalConformal
4,1.0,104,SpatialGCN,ClassConditionalConformal
5,0.900990099009901,101,SpatialGCN,ClassConditionalConformal
6,0.8970588235294118,68,SpatialGCN,ClassConditionalConformal
0,0.9617067833698031,914,SpatialGCN,RC3P
1,0.960352422907489,454,SpatialGCN,RC3P
2,0.9664804469273743,358,SpatialGCN,RC3P
3,0.9743589743589743,156,SpatialGCN,RC3P
4,0.9903846153846154,104,SpatialGCN,RC3P
5,0.9207920792079208,101,SpatialGCN,RC3P
6,0.8970588235294118,68,SpatialGCN,RC3P
0,0.9912472647702407,914,SpatialGCN,ClusteredConformal
1,0.947136563876652,454,SpatialGCN,ClusteredConformal
2,0.9608938547486033,358,SpatialGCN,ClusteredConformal
3,0.7884615384615384,156,SpatialGCN,ClusteredConformal
4,1.0,104,SpatialGCN,ClusteredConformal
5,0.900990099009901,101,SpatialGCN,ClusteredConformal
6,0.8970588235294118,68,SpatialGCN,ClusteredConformal
0,0.9934354485776805,914,SpatialGCN,RAPS
1,0.9581497797356828,454,SpatialGCN,RAPS
2,0.9720670391061452,358,SpatialGCN,RAPS
3,0.8205128205128205,156,SpatialGCN,RAPS
4,0.8653846153846154,104,SpatialGCN,RAPS
5,0.8316831683168316,101,SpatialGCN,RAPS
6,0.8970588235294118,68,SpatialGCN,RAPS
