class_id,class_coverage,support_count,model_name,method
0,0.9835886214442013,914,AlexNet,SplitConformal
1,0.960352422907489,454,AlexNet,SplitConformal
2,0.9273743016759777,358,AlexNet,SplitConformal
3,0.8910256410256411,156,AlexNet,SplitConformal
4,0.9711538461538461,104,AlexNet,SplitConformal
5,0.8910891089108911,101,AlexNet,SplitConformal
6,0.8382352941176471,68,AlexNet,SplitConformal
0,0.9638949671772429,914,AlexNet,ClassConditionalConformal
1,0.9647577092511013,454,AlexNet,ClassConditionalConformal
2,0.9413407821229051,358,AlexNet,ClassConditionalConformal
3,0.9423076923076923,156,AlexNet,ClassConditionalConformal
4,0.9903846153846154,104,AlexNet,ClassConditionalConformal
5,0.9108910891089109,101,AlexNet,ClassConditionalConformal
6,0.9264705882352942,68,AlexNet,ClassConditionalConformal
0,0.9693654266958425,914,AlexNet,RC3P
1,0.9669603524229075,454,AlexNet,RC3P
2,0.9413407821229051,358,AlexNet,RC3P
3,0.9423076923076923,156,AlexNet,RC3P
4,1.0,104,AlexNet,RC3P
5,0.9306930693069307,101,AlexNet,RC3P
6,0.9264705882352942,68,AlexNet,RC3P
0,0.9638949671772429,914,AlexNet,ClusteredConformal
1,0.9669603524229075,454,AlexNet,ClusteredConformal
2,0.9441340782122905,358,AlexNet,ClusteredConformal
3,0.9102564102564102,156,AlexNet,ClusteredConformal
4,0.9711538461538461,104,AlexNet,ClusteredConformal
5,0.9306930693069307,101,AlexNet,ClusteredConformal
6,0.8970588235294118,68,AlexNet,ClusteredConformal
0,1.0,914,AlexNet,RAPS
1,0.9977973568281938,454,AlexNet,RAPS
2,1.0,358,AlexNet,RAPS
3,1.0,156,AlexNet,RAPS
4,1.0,104,AlexNet,RAPS
5,1.0,101,AlexNet,RAPS
6,1.0,68,AlexNet,RAPS
0,0.9901531728665208,914,GFNet,SplitConformal
1,0.9405286343612335,454,GFNet,SplitConformal
2,0.946927374301676,358,GFNet,SplitConformal
3,0.8717948717948718,156,GFNet,SplitConformal
4,0.9519230769230769,104,GFNet,SplitConformal
5,0.9405940594059405,101,GFNet,SplitConformal
6,0.8676470588235294,68,GFNet,SplitConformal
0,0.9584245076586433,914,GFNet,ClassConditionalConformal
1,0.9713656387665198,454,GFNet,ClassConditionalConformal
2,0.952513966480447,358,GFNet,ClassConditionalConformal
3,0.9807692307692307,156,GFNet,ClassConditionalConformal
4,0.9615384615384616,104,GFNet,ClassConditionalConformal
5,0.9603960396039604,101,GFNet,ClassConditionalConformal
6,0.9558823529411765,68,GFNet,ClassConditionalConformal
0,0.962800875273523,914,GFNet,RC3P
1,0.9713656387665198,454,GFNet,RC3P
2,0.9553072625698324,358,GFNet,RC3P
3,0.9807692307692307,156,GFNet,RC3P
4,0.9615384615384616,104,GFNet,RC3P
5,0.9603960396039604,101,GFNet,RC3P
6,0.9558823529411765,68,GFNet,RC3P
0,0.9584245076586433,914,GFNet,ClusteredConformal
1,0.9537444933920705,454,GFNet,ClusteredConformal
2,0.9553072625698324,358,GFNet,ClusteredConformal
3,0.9294871794871795,156,GFNet,ClusteredConformal
4,0.9903846153846154,104,GFNet,ClusteredConformal
5,0.9900990099009901,101,GFNet,ClusteredConformal
6,0.9558823529411765,68,GFNet,ClusteredConformal
0,1.0,914,GFNet,RAPS
1,0.9977973568281938,454,GFNet,RAPS
2,1.0,358,GFNet,RAPS
3,0.9807692307692307,156,GFNet,RAPS
4,1.0,104,GFNet,RAPS
5,1.0,101,GFNet,RAPS
6,1.0,68,GFNet,RAPS
0,0.9901531728665208,914,ViT,SplitConformal
1,0.9647577092511013,454,ViT,SplitConformal
2,0.9217877094972067,358,ViT,SplitConformal
3,0.7756410256410257,156,ViT,SplitConformal
4,0.9615384615384616,104,ViT,SplitConformal
5,0.9108910891089109,101,ViT,SplitConformal
6,0.8088235294117647,68,ViT,SplitConformal
0,0.9518599562363238,914,ViT,ClassConditionalConformal
1,0.9625550660792952,454,ViT,ClassConditionalConformal
2,0.9357541899441341,358,ViT,ClassConditionalConformal
3,0.9615384615384616,156,ViT,ClassConditionalConformal
4,0.9807692307692307,104,ViT,ClassConditionalConformal
5,0.9504950495049505,101,ViT,ClassConditionalConformal
6,0.9852941176470589,68,ViT,ClassConditionalConformal
0,0.9540481400437637,914,ViT,RC3P
1,0.9647577092511013,454,ViT,RC3P
2,0.9357541899441341,358,ViT,RC3P
3,0.967948717948718,156,ViT,RC3P
4,0.9807692307692307,104,ViT,RC3P
5,0.9603960396039604,101,ViT,RC3P
6,0.9852941176470589,68,ViT,RC3P
0,0.9518599562363238,914,ViT,ClusteredConformal
1,0.9647577092511013,454,ViT,ClusteredConformal
2,0.9245810055865922,358,ViT,ClusteredConformal
3,0.8974358974358975,156,ViT,ClusteredConformal
4,0.9807692307692307,104,ViT,ClusteredConformal
5,0.9801980198019802,101,ViT,ClusteredConformal
6,0.9558823529411765,68,ViT,ClusteredConformal
0,0.9978118161925602,914,ViT,RAPS
1,0.9911894273127754,454,ViT,RAPS
2,0.994413407821229,358,ViT,RAPS
3,0.9935897435897436,156,ViT,RAPS
4,0.9903846153846154,104,ViT,RAPS
5,0.9900990099009901,101,ViT,RAPS
6,1.0,68,ViT,RAPS
