model_name,method,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lam,n_clusters,mean_per_class_coverage
AlexNet,ClassConditionalConformal,0.95,0.9563805104408353,0.9563805104408353,1.0,0.9563805104408353,0.04361948955916473,1.8549795769999946,0.05,,,0.948578206226823
GFNet,ClassConditionalConformal,0.95,0.9619489559164733,0.9619489559164733,1.0,0.9619489559164733,0.038051044083526685,1.8722480030000384,0.05,,,0.9629843139654913
ViT,ClassConditionalConformal,0.95,0.954524361948956,0.9549883990719258,1.0,0.9549883990719258,0.04501160092807425,1.5096354510000083,0.05,,,0.9611808673884935
AlexNet,ClusteredConformal,0.95,0.9540603248259861,0.9540603248259861,1.0,0.9540603248259861,0.04593967517401392,2.6526657320000027,0.05,,4.0,0.9405930781512915
GFNet,ClusteredConformal,0.95,0.9577726218097448,0.9577726218097448,1.0,0.9577726218097448,0.04222737819025522,4.9841500449999785,0.05,,4.0,0.9619042030477869
ViT,ClusteredConformal,0.95,0.9489559164733179,0.9494199535962877,1.0,0.9494199535962877,0.050580046403712296,10.493560402999947,0.05,,4.0,0.9507834531460431
AlexNet,RAPS,0.95,0.9995359628770302,1.0,1.0,1.0,0.0,0.40706230500001084,0.05,0.01,,0.999685336689742
GFNet,RAPS,0.95,0.9981438515081207,1.0,1.0,1.0,0.0,0.3789862169999765,0.05,0.01,,0.9969380839424893
ViT,RAPS,0.95,0.9948955916473318,1.0,1.0,1.0,0.0,0.3949093570000741,0.05,0.01,,0.9939268600288448
AlexNet,RC3P,0.95,0.9605568445475638,0.9605568445475638,1.0,0.9605568445475638,0.03944315545243619,2.3660229230000027,0.05,,,0.9538768444416531
GFNet,RC3P,0.95,0.9642691415313225,0.9642691415313225,1.0,0.9642691415313225,0.0357308584686775,2.4432203869999967,0.05,,,0.9640085516375292
ViT,RC3P,0.95,0.9568445475638051,0.9573085846867749,1.0,0.9573085846867749,0.04269141531322506,2.719281421000005,0.05,,,0.964138306458281
AlexNet,SplitConformal,0.95,0.9531322505800464,0.9531322505800464,1.0,0.9531322505800464,0.04686774941995359,1.6537636529999986,0.05,,,0.9232598908908133
GFNet,SplitConformal,0.95,0.9559164733178654,0.9559164733178654,1.0,0.9559164733178654,0.04408352668213457,1.614386708999973,0.05,,,0.9299383212109785
ViT,SplitConformal,0.95,0.9470997679814385,0.9475638051044084,1.0,0.9475638051044084,0.05243619489559165,1.5701578420000715,0.05,,,0.9047989567592845
