model_name,method,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lam,n_clusters,mean_per_class_coverage
AlexNet,ClassConditionalConformal,0.95,0.9684454756380511,0.9721577726218097,1.0,0.9721577726218097,0.027842227378190254,1.8264661350000324,0.05,,,0.9751597376957728
GFNet,ClassConditionalConformal,0.95,0.9503480278422274,0.9508120649651972,1.0,0.9508120649651972,0.04918793503480278,1.6122820150000052,0.05,,,0.9586006676383548
ViT,ClassConditionalConformal,0.95,0.9619489559164733,0.9638051044083527,1.0,0.9638051044083527,0.03619489559164733,1.5973934849999978,0.05,,,0.9754003427625625
AlexNet,ClusteredConformal,0.95,0.9642691415313225,0.9679814385150812,1.0,0.9679814385150812,0.032018561484918794,2.6781939759999887,0.05,,4.0,0.9659462542792003
GFNet,ClusteredConformal,0.95,0.9526682134570765,0.9526682134570765,1.0,0.9526682134570765,0.047331786542923436,4.8237161999999785,0.05,,4.0,0.955675197689071
ViT,ClusteredConformal,0.95,0.9596287703016241,0.9610208816705337,1.0,0.9610208816705337,0.03897911832946636,11.881354034000026,0.05,,4.0,0.9699058372680568
AlexNet,RAPS,0.95,0.991647331786543,1.0,1.0,1.0,0.0,0.3821702440000081,0.05,0.01,,0.9852202781043344
GFNet,RAPS,0.95,0.9990719257540603,1.0,1.0,1.0,0.0,0.3832800069999962,0.05,0.01,,0.9992862943912584
ViT,RAPS,0.95,0.9948955916473318,1.0,1.0,1.0,0.0,0.40944468399999323,0.05,0.01,,0.9958012282672026
AlexNet,RC3P,0.95,0.9698375870069605,0.9749419953596288,1.0,0.9749419953596288,0.02505800464037123,2.428969694999978,0.05,,,0.9701961176696655
GFNet,RC3P,0.95,0.9582366589327146,0.9587006960556844,1.0,0.9587006960556844,0.041299303944315545,1.570510249999984,0.05,,,0.9633580600835906
ViT,RC3P,0.95,0.9675174013921114,0.9693735498839907,1.0,0.9693735498839907,0.03062645011600928,1.9057834449999973,0.05,,,0.9777614157934151
AlexNet,SplitConformal,0.95,0.9582366589327146,0.9596287703016241,1.0,0.9596287703016241,0.04037122969837587,1.694172449000007,0.05,,,0.9287090897360205
GFNet,SplitConformal,0.95,0.9563805104408353,0.9563805104408353,1.0,0.9563805104408353,0.04361948955916473,2.2925550489999864,0.05,,,0.924079892218743
ViT,SplitConformal,0.95,0.9554524361948956,0.9559164733178654,1.0,0.9559164733178654,0.04408352668213457,1.5579629239999804,0.05,,,0.9327882536719019
