class_id,class_coverage,support_count,model_name
0,0.9989059080962801,914,AlexNet
1,1.0,454,AlexNet
2,1.0,358,AlexNet
3,0.9871794871794872,156,AlexNet
4,1.0,104,AlexNet
5,1.0,101,AlexNet
6,1.0,68,AlexNet
0,0.9989059080962801,914,GFNet
1,1.0,454,GFNet
2,0.994413407821229,358,GFNet
3,0.9871794871794872,156,GFNet
4,1.0,104,GFNet
5,1.0,101,GFNet
6,1.0,68,GFNet
0,0.9989059080962801,914,ViT
1,0.9933920704845814,454,ViT
2,0.9972067039106145,358,ViT
3,0.9935897435897436,156,ViT
4,1.0,104,ViT
5,1.0,101,ViT
6,1.0,68,ViT
