class_id,class_coverage,support_count,model_name
0,0.9978118161925602,914,AlexNet
1,1.0,454,AlexNet
2,1.0,358,AlexNet
3,1.0,156,AlexNet
4,0.9903846153846154,104,AlexNet
5,1.0,101,AlexNet
6,0.9852941176470589,68,AlexNet
0,0.9978118161925602,914,GFNet
1,1.0,454,GFNet
2,0.9972067039106145,358,GFNet
3,1.0,156,GFNet
4,0.9903846153846154,104,GFNet
5,1.0,101,GFNet
6,0.9852941176470589,68,GFNet
0,0.9967177242888403,914,ViT
1,0.9933920704845814,454,ViT
2,0.994413407821229,358,ViT
3,1.0,156,ViT
4,0.9903846153846154,104,ViT
5,1.0,101,ViT
6,0.9852941176470589,68,ViT
