class_id,class_accuracy,uncertainty_rate,mean_p_value,mean_gap,support_count,model_name,model_key
0,0.9993160054719562,0.0,9.143583667992061e-08,0.18505482375621796,7310,AlexNet,AlexNet_CNN
1,0.9988989815579411,0.0,3.044594450329896e-06,0.18761490285396576,3633,AlexNet,AlexNet_CNN
2,0.9993009437259699,0.0,2.3784942015936394e-08,0.19554586708545685,2861,AlexNet,AlexNet_CNN
3,0.9992006394884093,0.0,7.653191562909988e-41,0.18582865595817566,1251,AlexNet,AlexNet_CNN
4,0.9975874547647768,0.0,1.018627105170563e-15,0.1884743571281433,829,AlexNet,AlexNet_CNN
5,1.0,0.0,6.615887381185864e-39,0.1828179806470871,812,AlexNet,AlexNet_CNN
6,1.0,0.0,4.137330633062401e-38,0.1979822963476181,543,AlexNet,AlexNet_CNN
0,1.0,0.0,8.12248641861237e-41,0.19116967916488647,7310,GFNet,GFNet
1,0.9988989815579411,0.0,1.2407636029720948e-09,0.1921035647392273,3633,GFNet,GFNet
2,0.9972037749038798,0.0,1.3075063070951198e-37,0.19961299002170563,2861,GFNet,GFNet
3,0.996802557953637,0.0,2.3865669630537904e-20,0.2065889835357666,1251,GFNet,GFNet
4,1.0,0.0,8.619478549652469e-34,0.1843157410621643,829,GFNet,GFNet
5,1.0,0.0,4.8442887911708926e-42,0.18633371591567993,812,GFNet,GFNet
6,0.998158379373849,0.0,2.0745038840170448e-26,0.17417334020137787,543,GFNet,GFNet
0,0.999452804377565,0.00027359781121751026,0.00019269400218036026,0.19139502942562103,7310,ViT,ViT_UNet
1,0.9975227085053675,0.0,4.265584152562951e-07,0.18893109261989594,3633,ViT,ViT_UNet
2,0.9961551904928346,0.0,1.4529483078500412e-37,0.1947132796049118,2861,ViT,ViT_UNet
3,0.9944044764188649,0.0,6.250722647654962e-19,0.2036774456501007,1251,ViT,ViT_UNet
4,0.9987937273823885,0.0,9.328519207096875e-11,0.19120624661445618,829,ViT,ViT_UNet
5,0.9938423645320197,0.0,2.156186810004385e-27,0.18465900421142578,812,ViT,ViT_UNet
6,1.0,0.0,7.584029075904773e-39,0.19694004952907562,543,ViT,ViT_UNet
