class_id,class_accuracy,uncertainty_rate,mean_p_value,mean_gap,support_count,model_name,model_key
0,1.0,0.0,4.777686216461848e-23,0.19130626320838928,7310,AlexNet,AlexNet_CNN
1,0.9991742361684558,0.0,8.145083376136157e-33,0.19355596601963043,3633,AlexNet,AlexNet_CNN
2,1.0,0.0,6.37202400219361e-12,0.1904240995645523,2861,AlexNet,AlexNet_CNN
3,1.0,0.0,5.139408454368777e-09,0.1881585568189621,1251,AlexNet,AlexNet_CNN
4,1.0,0.0,1.625741307155459e-32,0.19748631119728088,829,AlexNet,AlexNet_CNN
5,0.9987684729064039,0.0,1.464379315994863e-39,0.18676139414310455,812,AlexNet,AlexNet_CNN
6,1.0,0.0,1.1408527113558673e-38,0.1948477178812027,543,AlexNet,AlexNet_CNN
0,1.0,0.0,3.8936479129729367e-41,0.19189217686653137,7310,GFNet,GFNet
1,0.9994494907789705,0.0,5.038112433228963e-25,0.1918567717075348,3633,GFNet,GFNet
2,0.9972037749038798,0.0,8.702385230208165e-07,0.1959775984287262,2861,GFNet,GFNet
3,0.996802557953637,0.0,6.975405179398809e-26,0.20683957636356354,1251,GFNet,GFNet
4,0.9987937273823885,0.0,2.2723834263160825e-05,0.18855132162570953,829,GFNet,GFNet
5,1.0,0.0,1.236926154459516e-41,0.18636558949947357,812,GFNet,GFNet
6,1.0,0.0,9.117184120528698e-39,0.17825278639793396,543,GFNet,GFNet
0,0.999452804377565,0.0,1.0584305497358552e-37,0.1920781135559082,7310,ViT,ViT_UNet
1,0.9966969446738233,0.0,7.183123148753797e-16,0.189440056681633,3633,ViT,ViT_UNet
2,0.9968542467668647,0.0,4.1089624666909164e-38,0.19411389529705048,2861,ViT,ViT_UNet
3,0.9976019184652278,0.0,4.522304314280088e-30,0.20228782296180725,1251,ViT,ViT_UNet
4,1.0,0.0,2.557930216778521e-41,0.1955716907978058,829,ViT,ViT_UNet
5,0.9975369458128078,0.0,1.893763790134809e-39,0.19139932096004486,812,ViT,ViT_UNet
6,0.994475138121547,0.0,8.307749121614066e-15,0.19566677510738373,543,ViT,ViT_UNet
