class_id,class_coverage,support_count,model_name,window_size
0,1.0,914,AlexNet,3
1,1.0,454,AlexNet,3
2,1.0,358,AlexNet,3
3,1.0,156,AlexNet,3
4,1.0,104,AlexNet,3
5,1.0,101,AlexNet,3
6,1.0,68,AlexNet,3
0,1.0,914,GFNet,3
1,1.0,454,GFNet,3
2,0.994413407821229,358,GFNet,3
3,1.0,156,GFNet,3
4,1.0,104,GFNet,3
5,1.0,101,GFNet,3
6,1.0,68,GFNet,3
0,0.9978118161925602,914,ViT,3
1,0.9955947136563876,454,ViT,3
2,0.9972067039106145,358,ViT,3
3,1.0,156,ViT,3
4,1.0,104,ViT,3
5,0.9900990099009901,101,ViT,3
6,1.0,68,ViT,3
0,0.9978118161925602,914,AlexNet,5
1,1.0,454,AlexNet,5
2,1.0,358,AlexNet,5
3,1.0,156,AlexNet,5
4,0.9903846153846154,104,AlexNet,5
5,1.0,101,AlexNet,5
6,0.9852941176470589,68,AlexNet,5
0,0.9978118161925602,914,GFNet,5
1,1.0,454,GFNet,5
2,0.9972067039106145,358,GFNet,5
3,1.0,156,GFNet,5
4,0.9903846153846154,104,GFNet,5
5,1.0,101,GFNet,5
6,0.9852941176470589,68,GFNet,5
0,0.9967177242888403,914,ViT,5
1,0.9911894273127754,454,ViT,5
2,0.994413407821229,358,ViT,5
3,1.0,156,ViT,5
4,0.9903846153846154,104,ViT,5
5,0.9801980198019802,101,ViT,5
6,0.9852941176470589,68,ViT,5
0,0.9989059080962801,914,AlexNet,7
1,1.0,454,AlexNet,7
2,1.0,358,AlexNet,7
3,0.9871794871794872,156,AlexNet,7
4,1.0,104,AlexNet,7
5,1.0,101,AlexNet,7
6,1.0,68,AlexNet,7
0,1.0,914,GFNet,7
1,1.0,454,GFNet,7
2,0.9888268156424581,358,GFNet,7
3,0.9871794871794872,156,GFNet,7
4,1.0,104,GFNet,7
5,1.0,101,GFNet,7
6,1.0,68,GFNet,7
0,0.9989059080962801,914,ViT,7
1,0.9911894273127754,454,ViT,7
2,0.9888268156424581,358,ViT,7
3,0.9935897435897436,156,ViT,7
4,1.0,104,ViT,7
5,0.9900990099009901,101,ViT,7
6,1.0,68,ViT,7
0,0.9978118161925602,914,AlexNet,9
1,0.9977973568281938,454,AlexNet,9
2,1.0,358,AlexNet,9
3,0.9871794871794872,156,AlexNet,9
4,0.9903846153846154,104,AlexNet,9
5,1.0,101,AlexNet,9
6,0.9852941176470589,68,AlexNet,9
0,0.9989059080962801,914,GFNet,9
1,1.0,454,GFNet,9
2,0.9888268156424581,358,GFNet,9
3,0.9807692307692307,156,GFNet,9
4,0.9903846153846154,104,GFNet,9
5,1.0,101,GFNet,9
6,0.9705882352941176,68,GFNet,9
0,0.9978118161925602,914,ViT,9
1,0.9911894273127754,454,ViT,9
2,0.994413407821229,358,ViT,9
3,0.9871794871794872,156,ViT,9
4,1.0,104,ViT,9
5,0.9900990099009901,101,ViT,9
6,0.9705882352941176,68,ViT,9
