model_name,method,window_size,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lambda,k,q_hat,mean_per_class_coverage
AlexNet,SACP,3,0.95,1.0,1.0009280742459397,1.0,0.9990719257540603,0.0,51.8932461090003,0.05,0.5,1,0.8520155166556683,1.0
GFNet,SACP,3,0.95,0.9990719257540603,1.002784222737819,1.0,0.997215777262181,0.0,50.155807561000074,0.05,0.5,1,0.8475709655286443,0.9992019154030327
ViT,SACP,3,0.95,0.997215777262181,1.0083526682134571,1.0,0.9935034802784223,0.0,62.91706057100009,0.05,0.5,1,0.8241552420758684,0.9972446062372218
AlexNet,SACP,5,0.95,0.9981438515081207,1.0009280742459397,1.0,0.9990719257540603,0.0,50.37363083499986,0.05,0.5,1,0.7682308946699049,0.9962129356034621
GFNet,SACP,5,0.95,0.9976798143851509,1.0023201856148491,1.0,0.9976798143851509,0.0,45.49485758200035,0.05,0.5,1,0.7664274453455611,0.9958138933049784
ViT,SACP,5,0.95,0.9939675174013921,1.0037122969837586,1.0,0.9962877030162413,0.0,50.5232604910002,0.05,0.5,1,0.744368224193755,0.9911710446080714
AlexNet,SACP,7,0.95,0.9986078886310905,1.0013921113689095,1.0,0.9986078886310905,0.0,55.113319391000005,0.05,0.5,1,0.763557825182243,0.9980121993251095
GFNet,SACP,7,0.95,0.997215777262181,1.0013921113689095,1.0,0.9986078886310905,0.0,51.802607455999805,0.05,0.5,1,0.7577292938774403,0.9965723289745636
ViT,SACP,7,0.95,0.9948955916473318,1.0023201856148491,1.0,0.9976798143851509,0.0,55.76864761500019,0.05,0.5,1,0.7338778483290709,0.9946587006488924
AlexNet,SACP,9,0.95,0.9967517401392111,1.0004640371229698,1.0,0.9995359628770302,0.0,60.279493288999674,0.05,0.5,1,0.7708233571469147,0.9940667704617023
GFNet,SACP,9,0.95,0.9948955916473318,1.0,1.0,1.0,0.0,57.2104906579998,0.05,0.5,1,0.7666250815496547,0.9899249721695289
ViT,SACP,9,0.95,0.9939675174013921,1.0037122969837586,1.0,0.9962877030162413,0.0,61.25333904900026,0.05,0.5,1,0.7472331808122694,0.9901830548144513
