class_id,class_coverage,support_count,model_name,window_size
0,0.9978118161925602,914,AlexNet,5
1,1.0,454,AlexNet,5
2,1.0,358,AlexNet,5
3,1.0,156,AlexNet,5
4,0.9903846153846154,104,AlexNet,5
5,1.0,101,AlexNet,5
6,0.9852941176470589,68,AlexNet,5
0,0.9978118161925602,914,GFNet,5
1,1.0,454,GFNet,5
2,0.9972067039106145,358,GFNet,5
3,1.0,156,GFNet,5
4,0.9903846153846154,104,GFNet,5
5,1.0,101,GFNet,5
6,0.9852941176470589,68,GFNet,5
0,0.9967177242888403,914,ViT,5
1,0.9911894273127754,454,ViT,5
2,0.994413407821229,358,ViT,5
3,1.0,156,ViT,5
4,0.9903846153846154,104,ViT,5
5,0.9801980198019802,101,ViT,5
6,0.9852941176470589,68,ViT,5
